"value","statistic","variable","country","total_asked","who_was_asked"
"Food and beverages trade",10,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
"Non-food trade",57,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
NA,331,"covid_sec_1_text","AE",407,"Owners/Managers of SMB Businesses"
"Food and beverages trade",19,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
"Non-food trade",54,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
NA,272,"covid_sec_1_text","AR",354,"Owners/Managers of SMB Businesses"
"Food and beverages trade",16,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
"Non-food trade",82,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
"Other (please specify)",8,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
NA,503,"covid_sec_1_text","AU",609,"Owners/Managers of SMB Businesses"
"Food and beverages trade",8,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
"Non-food trade",50,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
"Other (please specify)",17,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
NA,325,"covid_sec_1_text","BD",400,"Owners/Managers of SMB Businesses"
"Food and beverages trade",22,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
"Non-food trade",71,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
"Other (please specify)",5,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
NA,373,"covid_sec_1_text","BE",471,"Owners/Managers of SMB Businesses"
"Food and beverages trade",25,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
"Non-food trade",90,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
"Other (please specify)",21,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
NA,698,"covid_sec_1_text","BR",834,"Owners/Managers of SMB Businesses"
"Food and beverages trade",20,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
"Non-food trade",75,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
"Other (please specify)",13,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
NA,520,"covid_sec_1_text","CA",628,"Owners/Managers of SMB Businesses"
"Food and beverages trade",9,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
"Non-food trade",38,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
NA,276,"covid_sec_1_text","CH",332,"Owners/Managers of SMB Businesses"
"Food and beverages trade",12,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
"Non-food trade",38,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
"Other (please specify)",11,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
NA,227,"covid_sec_1_text","CO",288,"Owners/Managers of SMB Businesses"
"Food and beverages trade",11,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
"Non-food trade",37,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
NA,368,"covid_sec_1_text","CZ",419,"Owners/Managers of SMB Businesses"
"Food and beverages trade",16,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
"Non-food trade",40,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
"Other (please specify)",14,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
NA,439,"covid_sec_1_text","DE",509,"Owners/Managers of SMB Businesses"
"Food and beverages trade",11,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
"Non-food trade",53,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
"Other (please specify)",7,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
NA,365,"covid_sec_1_text","DK",436,"Owners/Managers of SMB Businesses"
"Food and beverages trade",9,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
"Non-food trade",34,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
"Other (please specify)",10,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
NA,279,"covid_sec_1_text","EC",332,"Owners/Managers of SMB Businesses"
"Food and beverages trade",15,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
"Non-food trade",117,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
"Other (please specify)",28,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
NA,489,"covid_sec_1_text","EG",649,"Owners/Managers of SMB Businesses"
"Food and beverages trade",24,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
"Non-food trade",69,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
"Other (please specify)",14,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
NA,469,"covid_sec_1_text","ES",576,"Owners/Managers of SMB Businesses"
"Food and beverages trade",23,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
"Non-food trade",69,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
"Other (please specify)",5,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
NA,448,"covid_sec_1_text","FR",545,"Owners/Managers of SMB Businesses"
"Food and beverages trade",14,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
"Non-food trade",133,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
"Other (please specify)",18,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
NA,858,"covid_sec_1_text","GB",1023,"Owners/Managers of SMB Businesses"
"Food and beverages trade",30,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
"Non-food trade",107,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
"Other (please specify)",31,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
NA,675,"covid_sec_1_text","GH",843,"Owners/Managers of SMB Businesses"
"Food and beverages trade",25,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
"Non-food trade",61,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
"Other (please specify)",23,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
NA,505,"covid_sec_1_text","GR",614,"Owners/Managers of SMB Businesses"
"Food and beverages trade",21,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
"Non-food trade",54,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
"Other (please specify)",8,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
NA,145,"covid_sec_1_text","HK",228,"Owners/Managers of SMB Businesses"
"Food and beverages trade",22,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
"Non-food trade",78,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
"Other (please specify)",18,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
NA,661,"covid_sec_1_text","HU",779,"Owners/Managers of SMB Businesses"
"Food and beverages trade",27,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
"Non-food trade",56,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
"Other (please specify)",19,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
NA,426,"covid_sec_1_text","ID",528,"Owners/Managers of SMB Businesses"
"Food and beverages trade",14,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
"Non-food trade",48,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
"Other (please specify)",6,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
NA,390,"covid_sec_1_text","IE",458,"Owners/Managers of SMB Businesses"
"Food and beverages trade",17,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
"Non-food trade",54,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
"Other (please specify)",9,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
NA,783,"covid_sec_1_text","IL",863,"Owners/Managers of SMB Businesses"
"Food and beverages trade",40,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
"Non-food trade",113,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
"Other (please specify)",30,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
NA,1093,"covid_sec_1_text","IN",1276,"Owners/Managers of SMB Businesses"
"Food and beverages trade",12,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
"Non-food trade",81,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
"Other (please specify)",7,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
NA,242,"covid_sec_1_text","IQ",342,"Owners/Managers of SMB Businesses"
"Food and beverages trade",20,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
"Non-food trade",77,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
"Other (please specify)",18,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
NA,497,"covid_sec_1_text","IT",612,"Owners/Managers of SMB Businesses"
