value,statistic,variable,country,total_asked,who_was_asked
I'm not sure,17,bus_cdt_text,AE,187,Owners/Managers of SMB Businesses
No,142,bus_cdt_text,AE,187,Owners/Managers of SMB Businesses
Yes,24,bus_cdt_text,AE,187,Owners/Managers of SMB Businesses
NA,4,bus_cdt_text,AE,187,Owners/Managers of SMB Businesses
I'm not sure,5,bus_cdt_text,AL,75,Owners/Managers of SMB Businesses
No,51,bus_cdt_text,AL,75,Owners/Managers of SMB Businesses
Yes,17,bus_cdt_text,AL,75,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,AL,75,Owners/Managers of SMB Businesses
I'm not sure,14,bus_cdt_text,AO,196,Owners/Managers of SMB Businesses
No,158,bus_cdt_text,AO,196,Owners/Managers of SMB Businesses
Yes,18,bus_cdt_text,AO,196,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,AO,196,Owners/Managers of SMB Businesses
I'm not sure,12,bus_cdt_text,AR,240,Owners/Managers of SMB Businesses
No,187,bus_cdt_text,AR,240,Owners/Managers of SMB Businesses
Yes,33,bus_cdt_text,AR,240,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,AR,240,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,AT,213,Owners/Managers of SMB Businesses
No,137,bus_cdt_text,AT,213,Owners/Managers of SMB Businesses
Yes,60,bus_cdt_text,AT,213,Owners/Managers of SMB Businesses
NA,10,bus_cdt_text,AT,213,Owners/Managers of SMB Businesses
I'm not sure,4,bus_cdt_text,AU,202,Owners/Managers of SMB Businesses
No,154,bus_cdt_text,AU,202,Owners/Managers of SMB Businesses
Yes,35,bus_cdt_text,AU,202,Owners/Managers of SMB Businesses
NA,9,bus_cdt_text,AU,202,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,AZ,92,Owners/Managers of SMB Businesses
No,71,bus_cdt_text,AZ,92,Owners/Managers of SMB Businesses
Yes,11,bus_cdt_text,AZ,92,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,AZ,92,Owners/Managers of SMB Businesses
I'm not sure,2,bus_cdt_text,BA,38,Owners/Managers of SMB Businesses
No,22,bus_cdt_text,BA,38,Owners/Managers of SMB Businesses
Yes,12,bus_cdt_text,BA,38,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,BA,38,Owners/Managers of SMB Businesses
I'm not sure,24,bus_cdt_text,BD,180,Owners/Managers of SMB Businesses
No,117,bus_cdt_text,BD,180,Owners/Managers of SMB Businesses
Yes,36,bus_cdt_text,BD,180,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,BD,180,Owners/Managers of SMB Businesses
I'm not sure,8,bus_cdt_text,BE,180,Owners/Managers of SMB Businesses
No,91,bus_cdt_text,BE,180,Owners/Managers of SMB Businesses
Yes,69,bus_cdt_text,BE,180,Owners/Managers of SMB Businesses
NA,12,bus_cdt_text,BE,180,Owners/Managers of SMB Businesses
I'm not sure,3,bus_cdt_text,BF,36,Owners/Managers of SMB Businesses
No,30,bus_cdt_text,BF,36,Owners/Managers of SMB Businesses
Yes,1,bus_cdt_text,BF,36,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,BF,36,Owners/Managers of SMB Businesses
I'm not sure,10,bus_cdt_text,BG,188,Owners/Managers of SMB Businesses
No,123,bus_cdt_text,BG,188,Owners/Managers of SMB Businesses
Yes,42,bus_cdt_text,BG,188,Owners/Managers of SMB Businesses
NA,13,bus_cdt_text,BG,188,Owners/Managers of SMB Businesses
I'm not sure,8,bus_cdt_text,BJ,60,Owners/Managers of SMB Businesses
No,46,bus_cdt_text,BJ,60,Owners/Managers of SMB Businesses
Yes,4,bus_cdt_text,BJ,60,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,BJ,60,Owners/Managers of SMB Businesses
I'm not sure,16,bus_cdt_text,BO,233,Owners/Managers of SMB Businesses
No,150,bus_cdt_text,BO,233,Owners/Managers of SMB Businesses
Yes,64,bus_cdt_text,BO,233,Owners/Managers of SMB Businesses
