country,value,statistic,total_asked,statistic_type,who_was_asked,variable,question
AE,1 to 3 years,74,418,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AE,4 to 5 years,42,418,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AE,6 to 10 years,44,418,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AE,Don't know or prefer not to say,7,418,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AE,Less than 1 year,24,418,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AE,More than 10 years,69,418,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AE,NA,158,418,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AL,1 to 3 years,30,193,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AL,4 to 5 years,25,193,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AL,6 to 10 years,18,193,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AL,Don't know or prefer not to say,3,193,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AL,Less than 1 year,15,193,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AL,More than 10 years,47,193,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AL,NA,55,193,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AO,1 to 3 years,53,290,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AO,4 to 5 years,25,290,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AO,6 to 10 years,17,290,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AO,Don't know or prefer not to say,11,290,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AO,Less than 1 year,39,290,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AO,More than 10 years,23,290,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AO,NA,122,290,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AR,1 to 3 years,74,432,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AR,4 to 5 years,49,432,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AR,6 to 10 years,56,432,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AR,Don't know or prefer not to say,5,432,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AR,Less than 1 year,42,432,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AR,More than 10 years,130,432,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AR,NA,76,432,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AT,1 to 3 years,90,569,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AT,4 to 5 years,56,569,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AT,6 to 10 years,61,569,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AT,Don't know or prefer not to say,8,569,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AT,Less than 1 year,34,569,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AT,More than 10 years,217,569,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AT,NA,103,569,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AU,1 to 3 years,137,708,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AU,4 to 5 years,77,708,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AU,6 to 10 years,71,708,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AU,Don't know or prefer not to say,8,708,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
AU,Less than 1 year,59,708,count,Owners/Managers of Businesses,bus_age_text,How old is your business?
